2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月14日 20:06	多摩之梦	看到袁厉害哭到神志混沌的时候嘴里还念叨着想见她的孩子，我哭了。悲剧不是袁厉害的错，即使她利用了孩子们的低保钱也只是想让孩子们活得再好一些 // #我在看新闻# 《兰考回应有钱建楼无钱盖福利院》 O网页链接；观看视频：O网页链接 ​
2013年01月14日 20:06	长沙华安汽车租赁有限公司	【袁厉害：政府不管的孩子我会继续收养】河南兰考弃婴收养者袁厉害称，以后民政部门不管的孩子，还会继续收养，“扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？”袁厉害称火灾前曾欲送6人到福利院，手续麻烦没送成，其中2个孩子丧生。 ​
2013年01月14日 20:05	中国民生网	【袁厉害送弃婴至福利院 称再不收养孩子】1月7日一早，袁厉害拖着病体到乡下接回了自己收养的最后一名婴儿，她原本想亲自将孩子送往开封福利院，因身体原因最终由他人代劳。袁厉害流着泪说，自己现在什么都没有了，以后要把低保也还给政府，不再收养孩子。 ​
2013年01月14日 20:02	wuli啦嚓吧卡_	那些说袁厉害骗低保的官员是脑残还是什么？一个月给70，是一个小孩70？还是所有的加起来70？是新闻讲不清楚，还是官员回答模棱两可？让袁厉害把两小孩给你，丢个140的，你养给我们看看？ ​
2013年01月14日 22:59	双月映雪	袁厉害，你是最伟大的，你们县的官员是最可耻可恶的！@东方卫视直播间 #此时此刻# #随手拍# @北京交通广播网 #说长道短# ​
2013年01月14日 22:55	陈悦华	大爱无疆……你是最美丽的，袁厉害 ​
2013年01月14日 22:51	Ellen-fish	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 22:50	flyerjoy	【兰考：弃婴妈妈袁厉害】 1月7日，河南兰考人民医院，袁厉害见到自己的养女快乐，母女俩相拥而泣。1月4日8时30许，河南兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生。袁厉害在7日接受媒... O兰考：弃婴妈妈袁厉害_资讯频道_凤凰网 （分享自 @凤凰网围观）@mark ​
2013年01月14日 22:49	贤通要努力	201314，是一个多么美好的日子。然而就在这天，兰考发生火灾，7名收养的孩子不幸遇难。爱心妈妈袁厉害在20年间，收养100多过孩子。这次因孩童引发的火灾，最心痛的应该是袁厉害吧!而躺在病床的袁厉害，却遭受着社会的质疑，有关部门的问责。这又是一种怎样的闹剧，又是一种怎样的不作为？ ​
2013年01月14日 22:49	上书房围脖	袁厉害，一个普通的妇女、弃婴收养者，为了个人的信仰坚持从事此项工作二十多年，因为一场大火被推到舆论的风口浪尖。县政府官员却说她没有办理收养资质要追究责任，他NND，你们早干什么去了？整天吃吃喝喝却没见你们拨点钱改善一下孤儿院的条件，你们的良心给TM狗吃了！ ​
2013年01月14日 22:45	我是主题曲哥哥	O《看见》 20130113 兰考弃儿-20130113看见-凤凰视频-最具媒体价值的综合视频门户-凤凰网，有空看看吧，河南袁厉害被质疑，到底是她的问题，还是社会的问题？ ​
2013年01月14日 22:45	中国新闻中心	【袁厉害：政府不管的孩子我会继续收养】河南兰考弃婴收养者袁厉害称，以后民政部门不管的孩子，还会继续收养，“扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？”袁厉害称火灾前曾欲送6人到福利院，手续麻烦没送成，其中2个孩子丧生。 ​
2013年01月14日 22:45	KenwayHo	【“扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？”】 河南兰考“爱心妈妈”袁厉害称，以后民政部门不管的孩子，还会继续收养。她的发问拷问我们每个人的良心。 ​
2013年01月14日 22:40	耗子与猫共处	《袁厉害:政府不管的我还会收养》 (来自 @头条新闻) O袁厉害讲述收养弃婴经历:曾为弃婴舍下满月儿子 ​
2013年01月14日 22:37	雪落北风	推荐@蔚蓝多 的帖子《大家说说袁厉害有没有资格竞选感动中国十大人物》，大家也来看看吧～ O查看更多 ​
2013年01月14日 22:36	周延华----佛弟子妙了	发表了一篇转载博文 《[转载]袁厉害：“政府不管的，我还会继续收养”》 - O[转载]袁厉害：“政... ​
2013年01月14日 22:36	会跑步的羽绒服	看昨晚的看见《兰考弃婴》，想起我们大学时候帮助过的那些智障孩子们，不知道现在他们长成什么样子了，有时候真想回去看看他们。@夏天x2j 可能我们的社会在制度和监管上还有很多缺陷，但袁厉害是个值得敬重的人。 ​
2013年01月14日 22:35	合同纠纷的法律服务	袁厉害虽然失误引发那么多孩子死亡，但他是爱孩子的，否则谁没事闲的早晨六点就起床给孩子做饭？。有些人呢，不是爱孩子才抱来人家的孩子，为了自己的私心私利，下手狠毒，像是对仇人一样！所以，老天通常不会让这种人如愿的。 ​
2013年01月14日 22:32	糙男子	10号发生过什么呢。我评论过什么呢？。？南都？袁厉害？。。苦逼苦逼的记性[崩溃][崩溃][崩溃][崩溃][崩溃][崩溃][崩溃][崩溃][崩溃][崩溃][崩溃] ​
2013年01月14日 22:29	越前running	质疑兰考袁厉害妈妈非法收养的畜生们，不要显示你们有多理智，希望这社会多法制！当初一个被遗弃的病婴在街头寒风中，站出来的只是一个连普通话都不会讲的农村妇女，她照顾过一个多个遗弃的生命，你们呢？你们真的没有资格质疑，有请当地享受民脂民膏却不干实事儿民政官员去袁妈妈那里下跪请罪吧！ ​
2013年01月14日 22:28	无浪舟自轻	袁厉害列传 袁厉害者，豫州兰封人也。其先名凤英，少时无忌傻狂，更名厉害。尊周礼，成村妇，育二子一女。 岁至丙寅，于兰封县太医馆前驻摊贩食。某日，医官唤袁曰：“袍有兔唇一子，处之！”留钱二十即离。袁观其一息尚存，怜遂留之。 ​
2013年01月14日 22:28	牛哥评股	据悉，袁厉害收养的弃婴无一是法律意义上的“孤儿”，也从未获得“孤儿”身份的救济金。河南社会散居孤儿最低养育标准为每人每月不低于600元，但认定程序繁琐。有专家认为，这非个案，相关政策规定的对“孤儿”身份认定的程序难以操作，导致弃婴被挡在国家救济的大门之外。 ​
2013年01月14日 22:26	风雪之颠张	【支持袁厉害当选感动中国十大人物的，请转发】袁厉害，其光辉事迹如下：1.20多年如一日，收养了100多名弃儿。2.为更好地照顾这些孩子，牺牲家庭幸福，自己多少年没添过一件新衣服，把自己的七处宅子换成两层小楼。3.对孩子们倾注了无限的爱。4.让孩子们有机会接受教育… ​
2013年01月14日 22:22	zenzen六羊	力挺袁厉害 打到不作为的狗官!#O网页链接# ​
2013年01月14日 22:22	润扬花园	看了<<央视>>袁厉害事件后续报道，我感到我们的国家在进步。 ​
2013年01月14日 22:22	1949-20xx	我参与了@中国新闻网 发起的投票【微调查：袁厉害是否应该入刑，你怎么看？】，我投给了"我有不同看法（转发并回复）"这个选项。你也快来表态吧：O微调查：袁厉害是否应该入刑，你怎么看？ ​
2013年01月14日 22:21	水墨映画1662236122	袁厉害，好样的！ ​
2013年01月14日 22:21	汉克风	当好人不能再做好人 ！ 【多面袁厉害 O网页链接 】(分享自ZAKER安卓手机版) ​
2013年01月14日 22:20	水不言	袁厉害：一位“母亲”的收养之痛 旁边配图有大字：问心无愧。 收养弃婴历程始于27年前。1993年袁厉害找到了兰考县民政局，我咋不为难，我心累啊。我咋拒绝呢？扔我那拒绝也拒绝不了。我咋非法收养，他扔大街上，我不抱回来养，他就死了。 ​
2013年01月14日 22:19	赵伯月	袁厉害 厉害！！ ​
2013年01月14日 22:19	正言直道	今天又开始牢骚了，想不到政府力量如此强大，原来还让说话，只是不让评论专政的是非罢了，现在评价下袁厉害的是非也要屏蔽，无耻呀!防民之口甚于防川呀!不信走着瞧 ​
2013年01月14日 22:19	飘不走的坚定	一百多个鲜活的生命，在常人想象不到的恶劣环境中，如野草般顽强地生长。他们本属于弃婴；幸运的是，他们被袁厉害妈妈收养。白头，白脸，唇裂…特别是那稚气的脸庞上满头发如雪，他们生来有病。“反正俺觉得快乐得很”，“吃白菜跟吃肉一样”，“她叫我有个妈”,发自这群“命若垃圾”的孤儿的心中。 ​
2013年01月14日 22:17	静以修身666	袁厉害的情感纯朴，动机慈善。是伟大的母爱。 当今有她这样纯朴的人，让大家看到了人性的光辉在闪耀! 10秒钟前来自微博话题墙 转发| 收藏| 评论 ​
2013年01月14日 22:16	瓶子瓶子爱虫子	分享自柴静 《兰考弃儿》 - 到福利院。袁厉害去开封考察之后对条件表示满意&#O网页链接amp;#65292;却又不愿意了。 【采访福利院院长】 王院长&#65306;我曾经和... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 22:15	曼联11号	下午看了柴静的兰考弃儿，深感完善的社会救助制度需求与现实的样样缺失之间距离实在太遥远了。我们没有资格责怪袁厉害，没有她这一百多个孩子早就不知所踪了；也不要去批评兰考的基层官员，他们的责任已经够多了。 ​
2013年01月14日 22:13	秋夜听雨2008	10天前，河南兰考县一把大火烧死了七个幼小的生命，当地官员们竟然以非法收养为名追究收养孤儿的袁厉害的刑事责任。政府官员们只会搞政绩工程，形象工程，没有人去关心孤儿死活，这是一个什么样的社会？政府应尽的职责，却让一个农妇承担起来了，现在不仅不肯定反而要追究责任，天理何在？ ​
2013年01月14日 22:12	铁路小人物万岁	【袁厉害,无愧于心别停下！】1月4日河南东部兰考县的袁厉害私人收养所发生火灾事故，造成7名孩子遇难的悲剧引起了社会无数人的关注，也遭受着谴责与质疑。有人说她在骗钱，有人说她卖孩子，有人说没有那么大能力就不要承担 O袁厉害,无愧于心别停下！_资讯频道_凤凰网 （分享自 @） ​
2013年01月14日 22:11	铁路小人物万岁	令人佩服的妈妈【袁厉害,无愧于心别停下！】1月4日河南东部兰考县的袁厉害私人收养所发生火灾事故，造成7名孩子遇难的悲剧引起了社会无数人的关注，也遭受着谴责与质疑。有人说她在骗钱，有人说她卖孩子，有人说没有那么大能力就不要承担 O袁厉害,无愧于心别停下！_资讯频道_凤凰网 （分享自 @） ​
2013年01月14日 22:05	花园里的一阕小令	下午又看了袁厉害故事的前前后后，说不出的苦楚和心痛。于那些婴孩，既已出生为人，生命就应该得到尊重，无论这个小肉体是丑陋的抑或残缺的，他都是有心跳和灵魂的生命，都该享受这世界哪怕只一丁点的精彩。 @范范范瑋琪 @黑人建州 和你们一起比出lovelife的手势，给自己于这个寒冬更多暖暖的正能量。 ​
2013年01月14日 22:05	流浪的的面包	分享马未都的博文图片：第九百一十四篇•袁厉害 O第九百一十四篇&bu... ​
2013年01月14日 22:05	雨落屋后_	袁厉害 ​
2013年01月15日 00:56	_echo_cheng	#兰考火灾# 关于这个事情，我认为作为旁观者我没有资格评论袁厉害说三道四。我们这些什么都不做的人有什么资格对一个救助孤儿20多年的人说些什么呢？无耻的是兰考县政府。 详情:O查看话题详情 ​
